x,y
0.0,0.0
1.4302515,3.2148163
2.8574886,6.4332843
4.278697,9.659057
5.6908627,12.895783
7.090971,16.147118
8.476007,19.416712
9.842958,22.708218
11.188809,26.025286
12.510546,29.371569
13.805154,32.750717
15.069618,36.166386
16.300926,39.622227
17.496061,43.121887
18.65201,46.66902
19.765759,50.26728
20.834293,53.920322
21.854599,57.63179
22.823662,61.40534
23.738466,65.24462
24.596,69.15329
25.393248,73.134995
26.127193,77.19339
26.794825,81.33212
27.393127,85.554855
27.9197,89.864624
28.374876,94.26184
28.762163,98.7438
29.087646,103.30529
29.357866,107.94067
29.57936,112.64427
29.758665,117.41047
29.902323,122.233604
30.016869,127.108025
30.108843,132.02809
30.184782,136.98814
30.251226,141.98254
30.314716,147.00563
30.381786,152.05176
30.458977,157.11528
30.552826,162.19055
30.669872,167.27193
30.816654,172.35374
30.99971,177.43036
31.225578,182.49612
31.5008,187.5454
31.83191,192.57251
32.22545,197.57184
32.68795,202.53772
33.22596,207.46451
33.845215,212.34729
34.548298,217.18417
35.334187,221.97658
36.199062,226.7286
37.138668,231.44475
38.14875,236.12953
39.225044,240.78745
40.3633,245.42297
41.559254,250.04063
42.80865,254.64491
44.107235,259.24033
45.45075,263.8314
46.834934,268.42255
48.25553,273.01837
49.708286,277.62332
51.18894,282.24188
52.693237,286.8786
54.216915,291.53793
55.755722,296.2244
57.3054,300.9425
58.86169,305.69678
60.420334,310.49164
61.977074,315.33167
63.527657,320.22134
65.067825,325.16513
66.59378,330.16592
68.10341,335.22067
69.596436,340.31982
71.07397,345.4489
72.537315,350.59286
73.98778,355.7365
75.42666,360.86478
76.85527,365.9625
78.2749,371.01456
79.686874,376.00586
81.092476,380.92123
82.49301,385.74564
83.88979,390.46387
85.28413,395.06088
86.6773,399.52148
88.07063,403.8306
89.46542,407.97308
90.86297,411.93384
92.26458,415.69772
93.67156,419.24963
95.08521,422.57443
96.50684,425.657
97.93775,428.48224
99.379234,431.035
100.83261,433.30017
102.29942,435.26596
103.782005,436.9312
105.28356,438.30634
106.80789,439.41006
108.35889,440.26215
109.94043,440.88232
111.556404,441.29034
113.2107,441.50595
114.9072,441.54886
116.649796,441.4388
118.44235,441.19556
120.28877,440.83884
122.19294,440.3884
124.15873,439.86395
126.19003,439.28525
128.29073,438.67206
130.4647,438.04407
132.71587,437.42105
135.04807,436.82272
137.4652,436.26886
139.97116,435.77917
142.56982,435.3734
145.26509,435.07132
148.06082,434.8926
150.9609,434.85703
153.96773,434.9808
