Episode,Reward,Steps,Progress,AvgDist,MaxDist,Within5m%,AvgSpeed,R_Follow,R_Heading,R_Smooth,EndReason,TotalSteps
1,1311.01,6000,0.0040,319.56,643.31,0.2,15.24,23.71,1383.75,-101.4447,truncated,24000
2,2104.80,6000,0.0360,235.69,433.15,8.2,8.06,668.03,1501.83,-150.0615,truncated,48000
3,8429.81,6000,0.7360,5.80,17.11,54.7,8.76,5113.24,1563.33,-81.7628,truncated,72000
4,8785.62,6000,0.4040,4.49,16.75,71.8,7.83,6244.96,1605.89,-70.2245,truncated,96000
5,9858.04,6000,0.3780,3.53,10.14,86.2,6.26,7412.02,1576.84,-70.7983,truncated,120000
6,8335.91,6000,0.2980,9.69,76.22,71.4,6.76,6165.37,1526.26,-95.7117,truncated,144000
7,9380.25,4804,1.0000,4.03,19.82,77.6,8.51,5433.68,1350.19,-98.6368,completed,163216
8,619.08,306,0.0560,3.23,7.40,81.4,7.47,408.42,83.81,-8.1515,,164440
9,1407.96,732,0.1720,3.46,7.53,77.0,7.00,932.94,201.96,-16.9357,,167368
10,448.67,158,0.2520,3.53,9.16,75.3,12.26,200.54,51.04,-2.9149,,168000
11,3581.15,729,1.0000,2.00,4.41,100.0,18.36,1212.42,308.56,-9.8201,completed,170916
12,396.36,248,0.0180,3.86,8.46,73.4,5.84,297.43,66.52,-7.5969,,171908
13,569.67,242,0.0900,3.37,8.13,81.4,10.64,315.89,78.84,-5.0674,,172876
14,4183.92,837,1.0000,2.10,6.48,97.1,19.19,1355.58,361.05,-7.7092,completed,176224
15,16.32,3,0.0060,1.38,2.33,100.0,18.85,5.47,1.26,-0.4093,,176236
16,980.04,193,0.2340,1.86,4.79,100.0,19.48,326.30,85.67,-1.9332,,177008
17,141.68,37,0.2620,2.58,5.11,97.3,19.57,54.39,17.67,-0.3800,,177156
18,3386.84,650,1.0000,1.96,4.97,100.0,18.94,1080.36,276.56,-15.0844,completed,179756
19,1375.73,305,0.3000,2.10,5.03,99.7,18.98,497.46,136.83,-3.5643,,180976
20,373.50,74,0.3860,1.78,3.51,100.0,19.10,127.47,31.66,-0.6262,,181272
21,692.61,134,0.5480,1.78,3.67,100.0,18.78,231.15,57.71,-1.2498,,181808
22,2447.74,605,1.0000,2.85,7.24,89.3,18.90,850.88,273.01,-6.1521,completed,184228
23,1468.91,302,0.3420,2.04,5.35,96.7,18.43,495.37,126.64,-3.0950,,185436
24,44.43,9,0.3520,1.75,3.04,100.0,18.15,15.63,3.90,-0.1070,,185472
25,885.91,218,0.5400,2.62,5.46,88.5,18.64,322.18,96.20,-2.4748,,186344
26,2436.12,570,1.0000,2.62,6.26,91.6,18.84,839.96,251.89,-5.7289,completed,188624
27,992.55,207,0.2260,1.97,5.00,99.5,18.71,345.37,89.42,-2.2425,,189452
28,273.51,69,0.2820,2.52,5.21,97.1,19.18,103.84,30.22,-0.5464,,189728
29,3552.15,763,1.0000,2.15,5.30,99.2,19.03,1226.14,338.01,-7.0086,completed,192780
30,323.44,103,0.0620,3.47,6.74,74.8,19.58,125.35,49.29,-1.1937,,193192
31,1324.34,356,0.3280,2.89,7.47,82.6,19.27,494.59,167.55,-2.8006,,194616
32,3390.05,797,1.0000,2.74,8.46,86.8,18.88,1145.87,370.86,-6.6731,completed,197804
33,1801.67,321,0.4560,1.67,5.56,99.1,16.95,555.71,123.13,-12.1595,,199088
34,3283.82,1098,1.0000,3.89,9.78,68.2,17.91,1241.03,503.76,-20.9723,completed,203480
35,3923.32,948,0.8160,2.42,6.47,95.0,16.95,1453.20,452.45,-17.3290,,207272
36,240.19,75,0.8600,3.22,5.91,82.7,16.41,97.15,34.89,-1.8577,,207572
37,604.65,189,0.9700,3.22,6.35,83.1,16.36,244.82,89.31,-4.4820,,208328
38,363.50,48,1.0000,2.90,5.24,87.5,16.72,66.53,22.66,-0.6920,completed,208520
39,3582.27,900,0.7320,2.55,7.07,93.2,16.91,1345.85,425.33,-13.9061,,212120
40,31.45,10,0.7380,3.49,5.96,70.0,17.25,12.16,4.53,-0.2441,,212160
41,1307.68,220,1.0000,2.04,6.27,94.1,17.60,358.62,96.88,-2.8215,completed,213040
42,1028.32,271,0.2040,2.59,5.94,93.7,17.47,400.60,126.99,-4.2721,,214124
43,2468.91,464,0.8120,1.66,7.67,98.9,16.61,805.89,153.84,-10.8185,,215980
44,801.93,365,0.9460,5.18,11.72,49.9,19.04,312.48,158.31,-3.8655,,217440
45,513.53,133,1.0000,4.86,9.49,54.1,19.48,120.82,58.78,-1.0699,completed,217972
46,1072.85,172,0.2860,1.24,3.42,100.0,18.26,316.95,51.50,-5.6013,,218660
47,2239.93,572,0.7440,2.67,7.25,89.3,19.16,831.21,269.21,-5.4796,,220948
48,787.39,149,0.9340,1.65,4.66,100.0,17.30,258.67,58.62,-4.8973,,221544
49,487.76,56,1.0000,1.79,3.31,100.0,18.80,96.33,26.75,-0.3208,completed,221768
50,2602.66,536,0.5860,1.96,4.75,100.0,18.87,892.36,254.83,-4.5391,,223912
51,1108.54,221,0.8440,1.88,5.91,96.4,18.80,369.67,96.44,-2.5687,,224796
52,953.39,180,1.0000,2.33,5.08,99.4,19.09,279.24,85.81,-1.6585,completed,225516
53,950.73,177,0.2260,1.70,4.28,100.0,18.73,308.27,83.96,-1.4908,,226224
54,2014.48,403,0.6880,1.88,4.96,100.0,18.74,678.04,184.07,-2.6249,,227836
55,764.47,179,0.8520,2.43,6.82,89.9,19.05,272.61,83.23,-1.3624,,228552
56,937.72,196,1.0000,2.84,6.11,88.3,19.12,275.37,94.19,-1.8355,completed,229336
57,2297.86,466,0.5240,1.90,4.77,100.0,18.76,782.81,213.23,-3.1794,,231200
58,577.74,100,0.6660,1.60,3.35,100.0,18.29,177.60,45.46,-0.3169,,231600
59,1101.97,254,0.9040,2.41,6.83,92.5,18.97,389.61,118.98,-1.6184,,232616
60,690.80,136,1.0000,2.93,5.89,84.6,19.35,186.48,65.17,-0.8548,completed,233160
61,1706.90,464,0.3600,3.15,8.34,76.1,18.79,610.20,208.55,-6.8541,,235016
62,2197.79,406,0.8880,1.66,3.82,100.0,18.26,711.91,169.83,-3.9521,,236640
63,733.95,125,1.0000,2.24,4.86,100.0,18.88,197.63,57.19,-0.8725,completed,237140
64,918.65,140,0.2520,1.08,2.68,100.0,13.66,263.68,38.90,-8.9285,,237700
65,3406.97,818,0.9760,2.53,8.27,91.1,18.86,1226.08,376.23,-5.3404,,240972
66,328.24,39,1.0000,3.25,6.25,79.5,19.35,49.97,18.61,-0.3412,completed,241128
67,64.14,18,0.0140,2.68,4.92,100.0,18.77,26.12,8.56,-0.5520,,241200
68,1759.96,437,0.3740,2.44,5.45,97.0,19.02,665.76,197.61,-3.4093,,242948
69,1994.01,417,0.8380,2.27,10.00,92.8,17.98,660.98,176.13,-3.1090,,244616
70,601.95,231,0.9400,4.23,9.87,62.3,19.57,239.84,108.76,-1.6463,,245540
71,540.58,131,1.0000,4.43,9.07,56.5,19.44,129.28,62.19,-0.8980,completed,246064
72,881.75,225,0.1800,2.49,5.24,98.2,18.93,339.96,98.97,-2.1763,,246964
73,2761.53,663,0.7660,2.45,7.31,93.1,18.76,1012.09,290.54,-6.0964,,249616
74,552.44,132,0.8840,2.49,6.83,91.7,18.94,200.55,57.90,-1.0195,,250144
75,722.40,112,1.0000,1.99,4.03,100.0,18.46,186.87,46.50,-0.9671,completed,250592
76,1020.25,263,0.2080,2.55,5.42,98.1,19.29,392.18,115.00,-1.9329,,251644
77,2938.98,709,0.8340,2.51,7.19,90.6,18.89,1070.11,309.33,-5.4667,,254480
78,257.62,92,0.8800,4.02,8.22,63.0,19.57,99.46,43.83,-0.6710,,254848
79,830.60,187,1.0000,3.13,7.21,83.4,19.11,247.17,84.78,-1.3532,completed,255596
80,103.31,20,0.0260,1.66,2.84,100.0,17.90,35.20,8.65,-0.5382,,255676
81,3457.06,720,0.8100,1.98,5.01,99.9,18.02,1202.81,301.60,-7.3534,,258556
82,630.67,192,0.9280,3.12,6.53,87.5,17.58,254.75,87.39,-6.4781,,259324
83,597.66,132,1.0000,3.22,6.56,84.8,14.53,170.86,62.34,-15.5335,completed,259852
84,71.17,10,0.0220,0.80,1.55,100.0,10.34,19.40,2.19,-0.4116,,259892
85,4337.78,1567,0.8860,3.59,10.47,74.0,11.86,1902.14,665.65,-390.0091,,266160
86,922.32,420,1.0000,4.44,9.63,59.8,10.23,413.55,173.82,-150.0645,completed,267840
87,366.99,187,0.0600,3.94,7.97,69.0,10.35,206.33,77.25,-61.5898,,268588
88,1561.93,598,0.3360,3.60,8.91,74.9,11.90,720.35,256.80,-105.2150,,270980
89,1159.87,277,0.5800,2.37,4.96,100.0,17.29,431.93,119.82,-1.8705,,272088
90,2608.93,945,0.9980,3.34,9.08,81.0,10.62,1217.13,407.68,-60.8729,,275868
91,209.19,2,1.0000,2.10,3.05,100.0,19.10,3.28,0.91,-0.0035,completed,275876
92,370.46,105,0.0740,2.66,5.29,96.2,17.14,155.74,39.06,-4.3438,,276296
93,3620.01,4948,0.4240,8.63,17.35,21.4,2.42,1919.47,855.66,-30.1160,,296088
94,117.57,945,0.4240,13.94,19.94,0.0,0.84,5.54,114.75,-2.7190,,299868
95,0.35,2,0.4240,11.58,11.58,0.0,0.00,0.02,0.33,-0.0005,truncated,299876
96,44.45,105,0.0020,7.27,8.88,8.6,1.83,32.19,15.10,-2.8414,,300296
97,1809.42,4948,0.0020,8.66,14.62,0.8,1.55,691.96,1248.51,-131.0485,,320088
98,236.68,945,0.0020,10.78,12.08,0.0,1.65,29.16,241.49,-33.9650,,323868
99,0.44,2,0.0020,11.68,11.68,0.0,0.00,0.02,0.42,-0.0031,truncated,323876
100,64.14,105,0.0040,6.78,7.97,9.5,2.52,39.01,22.16,-2.0311,,324296
101,4405.22,4948,0.0080,5.77,8.35,26.4,0.98,2840.47,1615.58,-60.8257,,344088
102,1133.98,945,0.0080,4.72,7.89,66.1,1.33,816.28,332.32,-14.6140,,347868
103,3.64,2,0.0080,3.01,3.02,100.0,0.10,2.78,0.86,-0.0005,truncated,347876
104,156.99,105,0.0040,3.80,4.82,100.0,2.30,118.08,35.83,-1.9148,,348296
105,5261.00,4948,0.0320,5.02,8.25,54.0,1.08,3882.20,1369.83,-61.0190,,368088
106,709.22,945,0.0320,6.08,9.01,12.0,0.60,460.24,256.25,-7.2681,,371868
107,1.06,2,0.0320,6.02,6.02,0.0,0.00,0.94,0.12,-0.0018,truncated,371876
108,102.71,105,0.0040,4.82,6.81,49.5,1.94,86.21,12.73,-1.2238,,372296
109,3023.73,4948,0.0040,7.00,10.84,13.7,0.61,1818.59,1242.09,-36.9431,,392088
110,996.79,945,0.0380,5.58,10.53,46.5,1.74,658.73,262.00,-8.9432,,395868
111,0.43,2,0.0380,7.96,7.96,0.0,0.00,0.32,0.12,-0.0002,truncated,395876
112,445.77,105,0.0960,2.36,4.98,100.0,18.23,162.54,49.59,-1.3648,,396296
113,5168.37,4948,0.8200,7.69,14.29,25.8,6.44,2359.52,1498.52,-499.6645,,416088
114,689.28,945,0.8260,6.45,13.15,35.9,1.28,521.78,159.11,-6.6079,,419868
115,2.71,2,0.8260,3.85,3.85,100.0,0.00,2.21,0.51,-0.0120,truncated,419876
